编号,单位名称,项目名称,"项目负
责人",
1,安徽开放大学,"数字赋能 一体化推进区域高等学历继续教育整
体转型的“ 园区模式”",诸咸斌,
2,安徽科技学院,"扎根皖北农村、服务乡村振兴—— 安徽科技学院
畜牧兽医专业学历继续教育教学改革",李忠,
3,北京开放大学,"北京开放大学学前教育专业学历与非学历融通的
课程建设研究",李欣茹,
4,北京开放大学,终身学习背景下的智慧学伴支持服务创新研究,李海英,
5,国家开放大学,开放教育数据驱动的全流程智能教育平台建设,范贤睿,
6,北京外国语大学,学历继续教育“ 外语+专业” 特色人才培养路径探,孙有中,
7,国家开放大学,数字时代家庭教育专业创新发展路径探索,张遐,
8,国家开放大学,"国家开放大学“ 互联网+ ”课程思政和思政课程一
体化建设",古小华,
9,北京化工大学,学历继续教育《物理化学》课程思政立体化建设,白守礼,
10,北京语言大学,"高校学历继续教育应用型外语类专业人才融合式
教育教学模式创新项目",王小萍,
11,福建开放大学,"模式推介 · 示范推动 · 评价推进 · 应用推广——福建
开放大学农科类专业课程育人联动体系的构建与",黄林昊,
12,甘肃开放大学,开放教育财经法规与会计职业道德精品课程建设,谷茂春,
13,兰州大学,"“立足西部、固本强能、创新融合” 引领下西部医
学高等学历继续教育人才培养模式的探索","宋焱峰；
张军儒",
14,华南师范大学,"高等学历继续教育融媒体教材建设与评价的研究
与实践",武丽志,
15,深圳大学,"打造智慧教育新环境，深入推进学历继续教育数
字化转型 ——深圳大学学历继续教育“数智教学
及管理平台”（继教数智大脑）建设与应用",张晓红,
16,"广州城建职业学
院",工程造价专业学历继续教育教学改革探索与实践,吴承霞,
17,广东开放大学,"远程教育“数据库课程群虚拟教研室” 教学创新团
队建设",王杰,
18,广东东软学院,"大思政 · 小问题 · 微项目 ——数智时代学历继续教
育思政协同育人模式构建",郭小婷,
19,"顺德职业技术学
院",智能制造学历继续教育特色专业群建设,宋玉宏,
20,"广东工程职业技
术学院","“ 互联网+” 时代IT领域学历继续教育数字化教学
改革创新与实践—— 以软件技术专业群为例",黄玲,
21,广州开放大学,"“大国工匠” 驱动下专业人才培养模式改革—— 以
眼视光技术专业人才培养为例",孙彬,
22,广西开放大学,"双线混融，数字赋能，课证融通：广西开放大学
学历继续教育“二元制”人才培养模式改革与创新",刘绍英,
23,广西开放大学,“纸质+互联网”立体化继续教育教材建设,王兴辉,
24,广西师范大学,"学历继续教育服务乡村人才振兴的教育教学模式
创新",黄文韬,
序号,单位名称,项目名称,"项目负
责人",备注
25,贵州理工学院,"深化学业导师制 教学赋能提质量 —— 贵州理工
学院学历继续教育创新改革模式",陈筠,培育
26,"海南职业技术学
院","项目化教学赋能“双学历双轮训” 构建海南乡村振
兴人才学历继续教育新模式",沈振国,
27,石家庄铁道大学,“智慧学历继续教育” 终身学习模式改革与应用实,韩立华,
28,华北理工大学,"基于数字化转型的普通高校学历继续教育融合教
学模式创新与建设",王志国,
29,河北地质大学,"基于数字化转型的高等学历继续教育毕业论文质
量管理体系建设",董莉,
30,"河南经贸职业学
院","高等学历继续教育优质公共基础课共建共享应用
机制研究",王新庆,
31,湖北开放大学,"支持学历继续教育的数字化学习生态系统建设与
实践",钟毓宁,
32,"湖北职业技术学
院",推动学历继续教育高质量发展的研究实践,陈劼,培育
33,"中国地质大学
（武汉）","高等学历继续教育 “ 四个融通”专业建设研究——
以《测绘工程专业》为例",王兴,
34,华中农业大学,"学历继续教育论文智能化全过程管理平台建设的
探索与实践",郑杰,
35,湖南师范大学,"推进“大思政课” 格局下继续教育课程思政 “知信
行合一式”教学改革与实践",蒋新苗,
36,"湖南人文科技学
院","“ 四维耦合” 的混合式继续教育教学模式改革与实
践",杨赳赳,
37,"湖南民族职业学
院","基于特色专业群建设和教育教学模式改革的学历
继续教育教学改革创新",包学敏,
38,南华大学,南华大学学历继续教育医学品牌专升本专业群建,曾建新,
39,南京医科大学,"以数字化为支撑的医学继续教育人才培养核心要
素建设",王海,
40,江苏开放大学,"推进人才培养全过程创新，打造学历继续教育示
范区",张晓,
41,徐州工程学院,军地两用人才培养模式的探索与实践,瞿翠玲,
42,南京工业大学,面向学历继续教育化工原理的课程思政教学改革,管国锋,
43,南京邮电大学,"完善数字教材体系，强化“工商管理” 继续教育品
牌特色专业建设",黄卫东,
44,徐州医科大学,"数智化赋能“教学管督”全过程，推进继续教育高
质量发展改革创新的实践研究",刘莹,
45,河海大学,"水利现代化转型背景下的高等学历继续教育水利
土木专业群建设",朱亚,
46,"江西现代职业技
术学院",继续教育课程思政与思政课程建设,吴飓,
47,东北财经大学,新时代一体化财经高等学历继续教育创新与实践,范大军,
48,"沈阳航空航天大
学","学历继续教育机类大学科课程体系与教学创新实
践研究",李润东,
49,内蒙古开放大学,数字化背景下残疾人学历继续教育改革创新,张建茹,
50,泰山学院,"学习型社会背景下 学历继续教育小学教育专业
的改革与实践",李芳,
51,"山东科技职业学
院","产教协同、育训一体、共建共享—— 纺织服装继
续教育品牌专业群建设",徐晓雁,
52,山东科技大学,"产教融合背景下煤炭行业工匠型人才培养体系建
设探索与实践",王佃春,
53,"中国石油大学
（华东）",学历继续教育“ 四全”课程思政育人体系建设,马国刚,
54,山西大学,"基于数字赋能的“双一流” 高校学历继续教育教学
模式创新探索",崔宏伟,
55,"西安建筑科技大
学","高等学历继续教育土建类专业混合式实验教学模
式创新与实践",赵亮,
56,陕西开放大学,"基于优质资源的开放教育数字化学习支持服务体
系建设探索与实践",吴宏梅,
